"x"
-31,3833869528335
-28,5785631715042
-28,9121100804674
-24,4048381942954
-28,5287864623316
-29,7995447998808
-25,3320451559076
-30,5483286785883
-27,1562470187087
-26,8151997095244
-27,5751744137175
-28,3306848440786
-34,3578179159967
-33,4978718034115
-33,425623762496
-35,6293074620941
-33,3832141330203
-25,6388555305684
-28,4932635169645
-23,8800642600315
-26,9816469746034
-29,6813792092862
-25,1230098088644
-33,9037116222897
-25,8833584537199
-29,2104947592565
-24,3278684393524
-31,8670924966725
-32,3627388003438
-26,3128288334637
-24,0135318214307
-26,5258709008719
-31,809997583452
-28,4978814659699
-26,3262207168631
-28,9494810351755
-26,5472947696643
-22,4463594827452
-32,0002520902353
-27,4235892121325
-29,0452895169932
-25,2522592342274
-28,6284776255113
-29,5916438744513
-30,2803840493353
-29,1253329006987
-29,7486769180806
-25,5384592062027
-29,9037372286266
-23,4184296057708
-22,6541818138572
-28,3130754778335
-28,4555808822005
-32,4631540389004
-24,5674206905621
-31,8980765463927
-27,3530564459024
-25,025505829172
-30,6424410090955
-33,2293359096371
-30,8202156626803
-25,9407757721282
-31,9665419739657
-32,1016161550048
-29,8910606251713
-26,8051359146762
-29,8580559282494
-29,5861020503456
-30,5185818102179
-28,2467615288309
-34,9358533600323
-26,81783672952
-28,6358475861929
-28,7442567621171
-33,8401564503854
-29,822537725125
-26,9673335041737
-27,809576752553
-23,9563044332294
-26,8695067010651
-33,3677172376811
-23,3733357749646
-29,1515896778287
-30,3268100604261
-27,4954376227191
-28,4913851200355
-31,0249676570296
-32,2329962692794
-28,6055545102033
-29,2010908564506
-33,9761479045713
-32,4396986819655
-29,7018473804519
-31,8486075700503
-26,3549540136589
-32,8493636075526
-26,756587820332
-29,006720993869
-24,4811141854246
-31,1597673158793
-27,5731302232327
-28,2586324650978
-29,5737675340472
-28,2254366974788
-29,8396221671407
-29,2030741940001
-25,3571737479944
-29,0095526264236
-29,9752140502657
-26,4106570960307
-24,4063408747091
-29,413035139091
-28,5238204693239
-27,6877078815618
-30,0362516257264
-32,6786404601919
-29,1856614050268
-25,906920806802
-31,2057997201687
-21,1879248563273
-28,4950625178101
-30,6027624729822
-32,8724904669532
-31,1034685596617
-30,8852874357668
-31,0939708544276
-22,3933900652082
-27,9901377914727
-28,2910180040165
-31,1871056100682
-25,2900064442998
-28,0978510276523
-26,0185128698323
-31,2743076350382
-30,9318120229037
-31,341973335123
-26,9952723951097
-27,7344769696327
-32,7354330283939
-30,4608377880169
-32,4645720009546
-29,6286643486702
-32,3869858975589
-28,5532314575986
-32,3874003225001
-27,5955471434746
-35,3464135950877
-24,2730920310422
